summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
ok,decent salary and good work-life benefit,limited opportunity in career development,2023-10-11T20:56:04.020,Software Engineer,4,4,5,2,4,4,3,POSITIVE,NEUTRAL,4.3,4.1,4.3,4.5
Incredible Company,Really believes and invests in their employees. Able to show up as your authentic self to work and solve some challenging and exciting problems.,Growing pains related to scaling.,2023-08-10T12:21:00.587,,5,5,5,5,5,5,5,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Great company,"The best company to work for. Great perks and culture, and phenomenal leadership.",None to note at this time.,2024-03-24T17:30:38.150,Senior Mid-Market Account Executive,5,5,5,5,5,5,5,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Overall a great company with strong values,"Great teammates and culture

Solid WLB",Great product but need to make radical improvements/updates in order to continue to scale growth at a similar rate,2024-02-22T13:57:20.313,Marketing Manager,5,5,5,5,5,5,5,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Manager,"Remote work, great coworkers, travel for offsites","Internal Processes, too many slack channels due to most employees coming from slack",2024-02-08T18:22:20.007,Manager,4,4,4,4,4,5,3,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Great,"Great place to work, awesome people","Not great pay, can be hectic depending on the team",2024-02-23T19:54:27.230,Data Scientist,5,5,4,5,5,5,5,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Don't recommend joining right now,The only positive I can think of is that the product is very well loved by customers.,"The company I signed up for is not the one that I joined and I don�t recommend sellers join at this time. Figma is struggling to shift from natural PLG to enterprise sales, and that struggle highlights the sales team leadership�s immaturity. Expectations are constantly changing, impossible PIPs have been issued, and a reorg has occurred - all issues making it challenging to succeed.",2023-08-22T08:34:43.630,Enterprise Account Executive,1,1,1,1,1,1,1,NEGATIVE,NEGATIVE,4.3,4.1,4.3,4.5
Figma,Great place to work. Recommend,Constant changes. Senior leadership might not have best interest on IC,2024-01-24T12:04:23.840,Account Manager,5,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
"Great Company, Treat Employees Well, Don't pay enough","Great product, smart people, good culture","Terrible comp structure, horrible billing model",2024-01-03T07:31:15.863,Enterprise Account Executive,4,4,1,3,5,5,3,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Good,An amazing company to work with,CEO sold us out to Adobe,2024-01-23T23:34:02.853,Motion Designer,3,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
Awesome,Great company and culture for a tech company,A bit of fluctuation and re-orgs.,2024-01-15T15:25:44.053,,5,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
Wonderful place to work,"Doing some of the best work of my career here. The company has a conspicuous lack of ego and everyone is just really good at what they do and extremely kind. Lots of opportunity to build new things, be heavily involved in product decisions, and solve hard technical problems (all at once).","Company is growing really fast which comes with some tensions that any growing company has, but still coping with it some of the best I�ve seen",2023-09-23T09:22:00.963,Software Engineer,5,5,4,4,5,5,5,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Great company,Great culture and community at all of the hubs,"Faced paced work, but manageable",2024-08-16T18:19:39.640,Business Development Representative (BDR),5,5,5,5,5,5,5,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Good but mediocre leadership,"Perks, people are amazing and overall great",Eng leadership and overall is pretty clueless and over prioritized partnerships over innovation,2024-08-01T13:28:18.180,Software Engineer,2,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
"Awesome product, incredibly smart people, and lots to figure out","- This is by far the best product I've ever sold. The pure joy and excitement heard from customers truly inspires me to want to put my best foot forward. I strive to have the customer experience match the product experience. 
- People here care about their job and the people around them. From a sales Org, that can be rare in my experience. 
-Leadership cares, they know when things are tough and they honestly try and get to the root cause and figure out a solution. But as the company gets bigger this some times takes longer. 
- This job is more than just a quota, It's about wanting to better yourself and leadership constantly harps on wanting Figma to be a place we look back on and lean on all our learnings and experiences.","- Sure, quota can be tough at time. I won't lie, but show me a sales role where quota isn't a constant pain point. We're in sales and we live and die by quota. 
- Leadership has taken a lot of time to better evaluate how territories/books are cut. They have very recently adjusted our quota to not only be Net New ARR but also renewal ARR. This is a recent, and very welcomed shift, that rewards us for fighting customer churn, which previously wasn't the case.",2024-02-09T09:20:00.303,Account Executive,5,5,3,3,5,5,3,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Get ready for a grind,Leadership suite is very approachable. Great perks with lots of travel. Everyone is super nice and the culture is fun.,Work has become a grind and burnout is common. Not a good ratio of senior to junior employees. Grew too fast and unsustainably.,2024-05-23T19:40:29.970,Data Scientist,4,2,4,3,5,5,3,NEGATIVE,POSITIVE,4.3,4.1,4.3,4.5
"Run, don't walk from this sales org","Bright coworkers who you can learn from, selling a top-tier product that customers adore","Clearly overhired for a product whose pricing/packaging/use cases don't align with the need for a massive commercial sales team. Accounts aren't high quality, and most of them are already (happily) using Figma self-service plans. Avg deal size is crazy small and all they care about is how much pipeline you're generating, even if it's fake.. would not suggest joining sales here anytime soon.",2024-01-30T08:54:32.003,Senior Account Executive,2,4,3,2,3,4,2,NEGATIVE,NEGATIVE,4.3,4.1,4.3,4.5
Should work on transparency and employee retention,"free food
some great employees","DEI
Average Management
Pay disparities",2024-05-29T10:36:04.947,,3,2,3,3,2,2,2,NEGATIVE,,4.3,4.1,4.3,4.5
"amazing people, but narrow culture, so many politics ","- amazing people to learn from, smart folks
- great office culture, free lunch and snacks 
- remote workability","- management is all over the place
- toxic, non inclusive work culture - only talk the talk 
- gotta fight for yourself 
- stuck in your position, no upward mobility 
- toxic positivity",2024-03-11T09:35:09.107,,2,0,0,0,0,0,0,NEGATIVE,POSITIVE,4.3,4.1,4.3,4.5
Great Place to Work,"- people are passionate about their work
- employees are valued and treated with respect (by each other and by higher-ups)
- benefits are good and lots of fun perks
- remote culture","- there can be a lot of pressure at times, due to the popularity of the company (but of course, this can be true at many places)",2024-03-05T11:37:24.433,Employee,5,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
what,"Very good company - great people - smart and kind, product is a beast.",I don't think I have a con right now.,2024-04-26T12:47:43.243,Account Manager,5,0,0,0,0,0,0,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
happy at figma,you grow a lot while here,no cons right now at all,2024-05-05T15:15:58.450,Recruiter,5,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
Awesome place to work,"Amazing product customers love
World class leadership
Collaborative, values driven culture",Limited growth opportunities from IC to people management in Sales,2024-11-19T14:28:03.613,Sales,5,5,5,4,5,4,5,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
The Job ,It was fun good place.,Managers cared too much about how well you worked.,2024-11-17T17:43:56.120,Server,5,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
Great company,"Great company to work for, competitive pay",Not very clear upward mobility,2024-11-17T16:01:50.510,Mid Market Account Executive,5,5,5,4,5,5,5,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
"Fantastic Product, Some confusion in sales","great product, people and work life balance","Frequent changes in role responsibility and priorities, can be tiring and confusing",2024-10-17T13:50:10.670,Account Manager,4,4,4,4,5,5,5,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Best company I've worked at,"Great company culture and amazing products. From top down, everyone is super motivated to bring the best to the table and working toward common goals.",The compensation for certain roles are a bit low but that's more of industry thing than Figma,2024-09-04T14:03:38.027,,5,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
Too many changes and no time to adapt,"Great Product
Great customers to work with","Too many changes too quickly. 
Had 5 different managers in 2 years. 
Leadership changes the direction all the time and is not too patient to give people the time to adapt.",2024-09-03T12:07:19.550,Account Executive,2,2,4,2,4,2,1,NEGATIVE,POSITIVE,4.3,4.1,4.3,4.5
BEST COMPANY TO WORK FOR,This is the best company I've ever worked for. Leadership is super supportive. They have a great mentorship/career progression program and are very clear on what expectations are to be promoted within a certain amount of time.,I have no cons to list.,2024-08-22T16:38:42.320,Outbound Sales Development Representative (SDR),5,5,5,5,5,5,5,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Great place to work,- worklife balance is good,- Not much to say,2024-09-23T08:52:22.883,UX Designer,5,5,5,4,5,5,4,,,4.3,4.1,4.3,4.5
Inexperienced Sales Org - CFO down to Managers,They provide a ramp period of 6 months for new hires. They pay for home office setup and have great wellness benefits. But it's all to distract you from the really challenging work environment and low performance of their upstream segments.,I hope I can say that the sales organization lacks a lot of experience and it shows. Upper management does not have a viable solution to improving the performance of their upstream market segments. They tried shifting courses 3 times in my short tenure.,2024-07-09T11:32:14.810,Enterprise Account Executive,1,1,1,1,1,2,1,NEGATIVE,NEUTRAL,4.3,4.1,4.3,4.5
NA,Figma is a great place to work!,No cons that I can think of,2024-08-28T09:57:42.397,Account Executive Mid-Market,5,4,4,4,4,5,4,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
